---------------------------
--- Client Registration ---
---------------------------
Base client	Base server	Points client	Points server
0.003           0.04            0.42            1.747           
------------------------------
--- Transaction Processing ---
------------------------------
Users	Base client	Base server	Points client	Points server
5000    0.109           0.33            8.785           9.074           
10000   0.119           0.762           8.787           9.451           
15000   0.121           1.185           8.771           9.781           
20000   0.131           1.561           8.786           10.12           
25000   0.132           1.744           8.793           10.498          
30000   0.135           1.894           8.794           10.702          
35000   0.141           2.471           8.789           10.941          
40000   0.144           3.221           8.796           11.333          
45000   0.146           3.144           8.816           11.521          
50000   0.149           3.086           8.81            12.182          
------------------------
--- Balance Settling ---
------------------------
Points	Client settle time	Server settle time
0       3.35                    3.638
25      18.059                  3.689
50      32.715                  3.649
75      47.29                   3.653
100     61.849                  3.653
125     76.531                  3.642
150     91.176                  3.67
175     105.675                 3.64
200     120.544                 3.658
225     135.291                 3.656
250     149.434                 3.638
275     164.333                 3.684
300     179.271                 3.65
325     193.918                 3.651
350     208.464                 3.641
375     222.884                 3.648
400     237.242                 3.653
425     251.829                 3.652
450     266.569                 3.639
475     281.174                 3.634
500     295.684                 3.653
525     310.51                  3.645
550     325.001                 3.65
575     340.303                 3.633
600     354.397                 3.652
625     368.87                  3.649
650     384.333                 3.631
675     397.495                 3.651
700     412.642                 3.644
725     428.042                 3.639
750     442.617                 3.643
775     457.796                 3.655
800     471.319                 3.659
825     485.831                 3.639
850     499.551                 3.643
875     515.911                 3.645
900     530.57                  3.63
925     545.481                 3.65
950     558.703                 3.667
975     573.382                 3.649
1000    588.885                 3.655
