---------------------------
--- Client Registration ---
---------------------------
Base client	Base server	Points client	Points server
0.002           0.028           0.631           1.026           
------------------------------
--- Transaction Processing ---
------------------------------
Users	Base client	Base server	Points client	Points server
5000    0.082           0.287           5.476           5.17            
10000   0.104           0.573           5.082           5.46            
15000   0.109           3.938           20.919          23.524          
20000   0.109           4.991           21.448          26.031          
25000   0.875           6.074           21.035          27.99           
30000   0.513           8.514           21.407          29.058          
35000   0.913           10.504          21.857          30.657          
40000   0.528           11.515          20.987          33.018          
45000   0.531           13.971          21.068          34.449          
50000   0.536           14.427          21.458          36.515          
------------------------
--- Balance Settling ---
------------------------
Points	Client settle time	Server settle time
0       20.698                  2.087
25      48.573                  2.08
50      76.686                  20.866
75      123.019                 2.037
100     150.8                   2.075
125     197.792                 2.079
150     246.054                 2.049
175     272.956                 2.033
200     299.943                 20.945
225     328.485                 2.043
250     379.819                 21.36
275     403.138                 20.862
300     450.683                 2.063
325     497.552                 2.03
350     546.237                 2.097
375     573.62                  2.049
400     601.186                 20.855
425     649.999                 2.05
450     674.971                 2.107
475     719.527                 2.044
500     748.707                 2.037
525     777.046                 20.84
550     802.731                 20.953
575     875.362                 2.034
600     900.262                 2.058
625     948.192                 20.966
650     955.549                 20.933
675     1003.142                20.919
700     1029.186                20.822
725     1098.338                2.771
750     1124.31                 2.117
775     1149.45                 20.828
800     1201.256                2.025
825     1273.335                2.031
850     1295.113                2.189
875     1347.259                2.056
900     1326.098                2.051
925     1397.685                2.09
950     1419.971                2.04
975     1448.421                2.024
1000    1499.604                2.075
