---------------------------
--- Client Registration ---
---------------------------
Base client	Base server	Points client	Points server
0.001           0.01            2.348           0.513           
------------------------------
--- Transaction Processing ---
------------------------------
Users	Base client	Base server	Points client	Points server
5000    0.028           0.117           2.534           2.62            
10000   0.03            0.223           2.537           2.724           
15000   0.032           0.309           2.537           2.811           
20000   0.033           0.401           2.537           2.906           
25000   0.036           0.492           2.54            2.983           
30000   0.038           0.549           2.538           3.087           
35000   0.04            0.71            2.541           3.172           
40000   0.04            0.759           2.541           3.297           
45000   0.042           0.86            2.546           3.383           
50000   0.043           1.021           2.547           3.685           
------------------------
--- Balance Settling ---
------------------------
Points	Client settle time	Server settle time
0       0.958                   1.073
25      5.586                   1.069
50      10.211                  1.074
75      14.815                  1.072
100     19.442                  1.067
125     24.077                  1.075
150     28.666                  1.065
175     33.343                  1.068
200     37.932                  1.071
225     42.567                  1.061
250     47.226                  1.066
275     51.749                  1.072
300     56.455                  1.072
325     62.493                  1.145
350     66.311                  1.066
375     70.244                  1.081
400     74.945                  1.075
425     79.533                  1.075
450     84.154                  1.073
475     88.757                  1.074
500     93.408                  1.078
525     98.097                  1.073
550     102.668                 1.075
575     108.702                 1.076
600     111.928                 1.066
625     116.503                 1.073
650     120.887                 1.067
675     125.706                 1.06
700     130.306                 1.071
725     134.85                  1.064
750     139.514                 1.077
775     144.044                 1.064
800     148.838                 1.071
825     153.36                  1.069
850     157.918                 1.074
875     162.614                 1.076
900     167.292                 1.073
925     171.903                 1.077
950     176.51                  1.069
975     181.193                 1.074
1000    185.819                 1.075
